"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"서울특별시  (1100000000)","9,857,426","9,857,426","728,462","894,656","1,447,115","1,579,189","1,647,989","1,553,543","1,109,052","635,309","223,113","33,479","5,519","4,830,206","4,830,206","373,353","461,597","720,019","790,867","818,309","759,316","525,418","290,349","81,165","8,485","1,328","5,027,220","5,027,220","355,109","433,059","727,096","788,322","829,680","794,227","583,634","344,960","141,948","24,994","4,191"
"서울특별시 종로구 (1111000000)","154,770","154,770","9,003","12,978","23,907","21,433","25,072","25,857","18,058","12,439","4,922","875","226","75,967","75,967","4,576","6,586","12,163","10,650","12,263","13,125","8,780","5,528","1,920","310","66","78,803","78,803","4,427","6,392","11,744","10,783","12,809","12,732","9,278","6,911","3,002","565","160"
"서울특별시 중구 (1114000000)","125,709","125,709","7,927","8,129","18,102","20,395","19,801","21,022","15,745","9,832","3,924","666","166","62,253","62,253","3,991","4,124","9,001","10,348","10,213","10,709","7,843","4,374","1,392","211","47","63,456","63,456","3,936","4,005","9,101","10,047","9,588","10,313","7,902","5,458","2,532","455","119"
"서울특별시 용산구 (1117000000)","229,161","229,161","15,310","18,008","31,993","38,016","38,441","35,846","25,834","16,875","7,264","1,262","312","110,878","110,878","7,849","9,266","15,653","18,933","19,044","17,666","12,145","7,204","2,639","395","84","118,283","118,283","7,461","8,742","16,340","19,083","19,397","18,180","13,689","9,671","4,625","867","228"
"서울특별시 성동구 (1120000000)","304,808","304,808","23,437","23,854","45,940","52,396","50,183","48,614","32,557","19,691","6,994","927","215","150,368","150,368","11,951","11,933","23,166","26,137","25,421","24,489","15,661","8,784","2,519","250","57","154,440","154,440","11,486","11,921","22,774","26,259","24,762","24,125","16,896","10,907","4,475","677","158"
"서울특별시 광진구 (1121500000)","357,703","357,703","24,212","30,875","60,549","61,198","58,472","56,514","37,178","20,556","6,957","1,015","177","174,414","174,414","12,465","15,798","29,167","30,526","28,757","27,569","17,793","9,512","2,534","254","39","183,289","183,289","11,747","15,077","31,382","30,672","29,715","28,945","19,385","11,044","4,423","761","138"
"서울특별시 동대문구 (1123000000)","350,647","350,647","23,694","27,914","54,166","53,127","55,790","55,953","42,357","26,911","9,179","1,310","246","175,324","175,324","12,167","14,266","27,992","27,599","28,726","28,052","20,364","12,195","3,540","352","71","175,323","175,323","11,527","13,648","26,174","25,528","27,064","27,901","21,993","14,716","5,639","958","175"
"서울특별시 중랑구 (1126000000)","408,226","408,226","28,018","32,554","58,319","63,448","64,652","72,314","50,449","27,945","9,113","1,249","165","203,325","203,325","14,315","16,866","29,425","33,066","33,016","35,798","24,481","12,763","3,267","289","39","204,901","204,901","13,703","15,688","28,894","30,382","31,636","36,516","25,968","15,182","5,846","960","126"
"서울특별시 성북구 (1129000000)","444,055","444,055","33,599","41,755","63,881","64,447","76,956","68,590","49,697","31,940","11,309","1,569","312","216,556","216,556","17,201","21,302","31,805","32,072","38,539","33,536","23,260","14,167","4,187","410","77","227,499","227,499","16,398","20,453","32,076","32,375","38,417","35,054","26,437","17,773","7,122","1,159","235"
"서울특별시 강북구 (1130500000)","324,479","324,479","20,453","26,814","44,012","45,371","53,260","54,441","42,069","27,849","8,811","1,182","217","158,918","158,918","10,461","13,825","22,014","23,858","26,939","26,357","19,387","12,320","3,393","315","49","165,561","165,561","9,992","12,989","21,998","21,513","26,321","28,084","22,682","15,529","5,418","867","168"
