"행정구역","2013년_계_총인구수","2013년_계_연령구간인구수","2013년_계_0~9세","2013년_계_10~19세","2013년_계_20~29세","2013년_계_30~39세","2013년_계_40~49세","2013년_계_50~59세","2013년_계_60~69세","2013년_계_70~79세","2013년_계_80~89세","2013년_계_90~99세","2013년_계_100세 이상","2013년_남_총인구수","2013년_남_연령구간인구수","2013년_남_0~9세","2013년_남_10~19세","2013년_남_20~29세","2013년_남_30~39세","2013년_남_40~49세","2013년_남_50~59세","2013년_남_60~69세","2013년_남_70~79세","2013년_남_80~89세","2013년_남_90~99세","2013년_남_100세 이상","2013년_여_총인구수","2013년_여_연령구간인구수","2013년_여_0~9세","2013년_여_10~19세","2013년_여_20~29세","2013년_여_30~39세","2013년_여_40~49세","2013년_여_50~59세","2013년_여_60~69세","2013년_여_70~79세","2013년_여_80~89세","2013년_여_90~99세","2013년_여_100세 이상"
"서울특별시  (1100000000)","10,143,645","10,143,645","808,737","1,095,810","1,459,843","1,763,451","1,738,953","1,593,805","940,935","546,449","164,308","27,088","4,266","5,007,869","5,007,869","415,562","570,811","729,035","889,687","869,875","773,936","449,784","247,857","53,093","7,136","1,093","5,135,776","5,135,776","393,175","524,999","730,808","873,764","869,078","819,869","491,151","298,592","111,215","19,952","3,173"
"서울특별시 종로구 (1111000000)","160,070","160,070","9,770","16,583","23,445","23,589","28,156","26,013","16,208","11,605","3,764","763","174","79,519","79,519","5,079","8,659","11,964","11,951","14,024","13,188","7,646","5,312","1,373","267","56","80,551","80,551","4,691","7,924","11,481","11,638","14,132","12,825","8,562","6,293","2,391","496","118"
"서울특별시 중구 (1114000000)","130,465","130,465","8,930","10,741","18,237","22,207","21,693","22,004","13,781","9,180","3,035","538","119","65,371","65,371","4,517","5,549","9,268","11,455","11,459","11,297","6,624","4,012","981","177","32","65,094","65,094","4,413","5,192","8,969","10,752","10,234","10,707","7,157","5,168","2,054","361","87"
"서울특별시 용산구 (1117000000)","239,740","239,740","18,251","22,120","31,774","42,705","41,886","36,969","22,905","16,559","5,408","933","230","116,491","116,491","9,246","11,512","15,553","21,224","21,142","18,000","10,366","7,148","1,925","313","62","123,249","123,249","9,005","10,608","16,221","21,481","20,744","18,969","12,539","9,411","3,483","620","168"
"서울특별시 성동구 (1120000000)","299,337","299,337","24,133","28,878","43,540","54,086","51,695","46,904","27,096","17,245","4,817","796","147","149,304","149,304","12,403","14,621","22,092","27,427","26,692","23,529","12,985","7,691","1,601","218","45","150,033","150,033","11,730","14,257","21,448","26,659","25,003","23,375","14,111","9,554","3,216","578","102"
"서울특별시 광진구 (1121500000)","368,927","368,927","27,188","39,275","60,254","66,639","63,263","57,593","31,138","17,546","5,044","848","139","181,864","181,864","13,880","20,349","29,407","33,602","31,445","28,163","15,017","8,105","1,657","204","35","187,063","187,063","13,308","18,926","30,847","33,037","31,818","29,430","16,121","9,441","3,387","644","104"
"서울특별시 동대문구 (1123000000)","364,273","364,273","27,018","34,863","54,015","61,343","59,766","58,300","37,265","23,973","6,517","1,028","185","182,987","182,987","13,826","17,952","28,137","31,847","31,169","28,827","17,692","10,967","2,210","313","47","181,286","181,286","13,192","16,911","25,878","29,496","28,597","29,473","19,573","13,006","4,307","715","138"
"서울특별시 중랑구 (1126000000)","416,798","416,798","30,406","42,812","59,707","68,438","71,488","72,170","41,030","23,232","6,387","997","131","208,641","208,641","15,637","22,300","29,987","35,724","36,412","35,899","19,858","10,617","1,947","230","30","208,157","208,157","14,769","20,512","29,720","32,714","35,076","36,271","21,172","12,615","4,440","767","101"
"서울특별시 성북구 (1129000000)","476,589","476,589","40,294","49,242","67,581","79,726","82,420","72,583","45,396","29,488","8,254","1,359","246","234,573","234,573","20,735","25,388","33,511","40,163","41,996","35,137","21,156","13,309","2,732","376","70","242,016","242,016","19,559","23,854","34,070","39,563","40,424","37,446","24,240","16,179","5,522","983","176"
"서울특별시 강북구 (1130500000)","338,707","338,707","24,615","34,351","43,907","55,117","57,491","55,103","37,229","23,827","5,938","942","187","167,342","167,342","12,615","18,005","22,222","28,611","29,195","26,435","16,971","10,935","2,051","255","47","171,365","171,365","12,000","16,346","21,685","26,506","28,296","28,668","20,258","12,892","3,887","687","140"
