"행정구역","2010년_계_총인구수","2010년_계_연령구간인구수","2010년_계_0~9세","2010년_계_10~19세","2010년_계_20~29세","2010년_계_30~39세","2010년_계_40~49세","2010년_계_50~59세","2010년_계_60~69세","2010년_계_70~79세","2010년_계_80~89세","2010년_계_90~99세","2010년_계_100세 이상","2010년_남_총인구수","2010년_남_연령구간인구수","2010년_남_0~9세","2010년_남_10~19세","2010년_남_20~29세","2010년_남_30~39세","2010년_남_40~49세","2010년_남_50~59세","2010년_남_60~69세","2010년_남_70~79세","2010년_남_80~89세","2010년_남_90~99세","2010년_남_100세 이상","2010년_여_총인구수","2010년_여_연령구간인구수","2010년_여_0~9세","2010년_여_10~19세","2010년_여_20~29세","2010년_여_30~39세","2010년_여_40~49세","2010년_여_50~59세","2010년_여_60~69세","2010년_여_70~79세","2010년_여_80~89세","2010년_여_90~99세","2010년_여_100세 이상"
"서울특별시  (1100000000)","10,312,545","10,312,545","859,521","1,247,989","1,583,684","1,869,447","1,749,548","1,497,689","895,164","444,099","140,449","21,432","3,523","5,111,259","5,111,259","442,791","654,288","788,804","950,258","876,076","723,834","432,585","193,103","42,895","5,651","974","5,201,286","5,201,286","416,730","593,701","794,880","919,189","873,472","773,855","462,579","250,996","97,554","15,781","2,549"
"서울특별시 종로구 (1111000000)","170,578","170,578","11,202","19,851","26,079","27,319","29,806","25,090","17,056","10,033","3,369","636","137","85,182","85,182","5,822","10,575","13,356","13,959","15,012","12,528","7,985","4,463","1,206","225","51","85,396","85,396","5,380","9,276","12,723","13,360","14,794","12,562","9,071","5,570","2,163","411","86"
"서울특별시 중구 (1114000000)","132,822","132,822","9,421","12,992","19,444","23,586","22,469","20,385","13,625","7,685","2,678","435","102","66,879","66,879","4,775","6,730","9,995","12,423","11,915","10,240","6,455","3,237","921","149","39","65,943","65,943","4,646","6,262","9,449","11,163","10,554","10,145","7,170","4,448","1,757","286","63"
"서울특별시 용산구 (1117000000)","244,853","244,853","19,245","24,430","35,355","46,858","41,146","34,643","23,436","14,157","4,668","733","182","119,482","119,482","9,773","12,793","17,295","23,608","20,894","16,516","10,763","5,937","1,599","255","49","125,371","125,371","9,472","11,637","18,060","23,250","20,252","18,127","12,673","8,220","3,069","478","133"
"서울특별시 성동구 (1120000000)","309,093","309,093","26,409","33,652","46,758","58,974","52,795","43,540","27,536","14,528","4,131","655","115","155,067","155,067","13,528","17,403","23,659","30,296","27,764","21,622","13,021","6,237","1,330","176","31","154,026","154,026","12,881","16,249","23,099","28,678","25,031","21,918","14,515","8,291","2,801","479","84"
"서울특별시 광진구 (1121500000)","375,463","375,463","29,259","45,650","65,013","69,647","64,482","52,925","29,256","14,148","4,298","660","125","186,024","186,024","15,014","23,738","31,654","35,481","32,205","25,835","14,306","6,237","1,348","168","38","189,439","189,439","14,245","21,912","33,359","34,166","32,277","27,090","14,950","7,911","2,950","492","87"
"서울특별시 동대문구 (1123000000)","366,786","366,786","28,348","39,647","57,916","64,438","59,505","54,857","36,513","19,214","5,348","854","146","184,874","184,874","14,491","20,678","29,903","33,934","30,882","26,885","17,475","8,541","1,776","267","42","181,912","181,912","13,857","18,969","28,013","30,504","28,623","27,972","19,038","10,673","3,572","587","104"
"서울특별시 중랑구 (1126000000)","427,455","427,455","33,062","51,305","65,437","73,070","74,965","66,278","38,595","18,296","5,482","869","96","214,383","214,383","17,020","26,775","33,093","37,977","38,095","32,799","18,778","8,087","1,546","189","24","213,072","213,072","16,042","24,530","32,344","35,093","36,870","33,479","19,817","10,209","3,936","680","72"
"서울특별시 성북구 (1129000000)","488,932","488,932","44,298","54,374","73,514","89,741","80,468","68,978","45,245","24,019","6,976","1,114","205","241,927","241,927","22,812","28,275","36,699","45,715","40,901","33,164","21,351","10,483","2,182","280","65","247,005","247,005","21,486","26,099","36,815","44,026","39,567","35,814","23,894","13,536","4,794","834","140"
"서울특별시 강북구 (1130500000)","346,520","346,520","26,660","39,201","48,975","60,688","57,253","52,196","37,261","18,426","4,920","788","152","172,109","172,109","13,729","20,515","24,974","31,622","29,007","24,846","17,197","8,398","1,577","201","43","174,411","174,411","12,931","18,686","24,001","29,066","28,246","27,350","20,064","10,028","3,343","587","109"
