"행정구역","2014년_계_총인구수","2014년_계_연령구간인구수","2014년_계_0~9세","2014년_계_10~19세","2014년_계_20~29세","2014년_계_30~39세","2014년_계_40~49세","2014년_계_50~59세","2014년_계_60~69세","2014년_계_70~79세","2014년_계_80~89세","2014년_계_90~99세","2014년_계_100세 이상","2014년_남_총인구수","2014년_남_연령구간인구수","2014년_남_0~9세","2014년_남_10~19세","2014년_남_20~29세","2014년_남_30~39세","2014년_남_40~49세","2014년_남_50~59세","2014년_남_60~69세","2014년_남_70~79세","2014년_남_80~89세","2014년_남_90~99세","2014년_남_100세 이상","2014년_여_총인구수","2014년_여_연령구간인구수","2014년_여_0~9세","2014년_여_10~19세","2014년_여_20~29세","2014년_여_30~39세","2014년_여_40~49세","2014년_여_50~59세","2014년_여_60~69세","2014년_여_70~79세","2014년_여_80~89세","2014년_여_90~99세","2014년_여_100세 이상"
"서울특별시  (1100000000)","10,103,233","10,103,233","793,992","1,044,513","1,457,951","1,713,666","1,729,469","1,604,160","980,220","568,848","177,339","28,404","4,671","4,979,768","4,979,768","407,662","541,899","728,892","861,605","865,039","779,817","467,767","259,471","58,891","7,516","1,209","5,123,465","5,123,465","386,330","502,614","729,059","852,061","864,430","824,343","512,453","309,377","118,448","20,888","3,462"
"서울특별시 종로구 (1111000000)","156,993","156,993","9,331","15,626","23,321","22,416","27,206","25,942","16,440","11,717","4,011","787","196","77,621","77,621","4,852","8,122","11,810","11,263","13,449","13,181","7,824","5,309","1,478","269","64","79,372","79,372","4,479","7,504","11,511","11,153","13,757","12,761","8,616","6,408","2,533","518","132"
"서울특별시 중구 (1114000000)","128,065","128,065","8,456","9,902","17,977","21,110","21,158","21,989","14,131","9,395","3,223","596","128","64,033","64,033","4,299","5,099","9,109","10,814","11,168","11,214","6,879","4,167","1,048","200","36","64,032","64,032","4,157","4,803","8,868","10,296","9,990","10,775","7,252","5,228","2,175","396","92"
"서울특별시 용산구 (1117000000)","235,951","235,951","17,361","20,949","31,490","40,729","41,176","37,012","23,459","16,643","5,863","1,009","260","114,578","114,578","8,734","10,904","15,450","20,156","20,859","18,083","10,739","7,130","2,108","344","71","121,373","121,373","8,627","10,045","16,040","20,573","20,317","18,929","12,720","9,513","3,755","665","189"
"서울특별시 성동구 (1120000000)","296,086","296,086","23,378","27,196","43,436","51,812","51,042","47,411","27,819","17,696","5,282","851","163","147,363","147,363","11,924","13,736","22,027","26,164","26,272","23,852","13,376","7,906","1,811","247","48","148,723","148,723","11,454","13,460","21,409","25,648","24,770","23,559","14,443","9,790","3,471","604","115"
"서울특별시 광진구 (1121500000)","363,354","363,354","26,294","36,833","59,457","64,436","61,999","57,356","32,352","18,213","5,376","892","146","178,738","178,738","13,428","18,929","29,115","32,383","30,750","28,021","15,600","8,432","1,812","232","36","184,616","184,616","12,866","17,904","30,342","32,053","31,249","29,335","16,752","9,781","3,564","660","110"
"서울특별시 동대문구 (1123000000)","363,687","363,687","26,749","33,152","54,367","59,799","59,377","58,564","38,436","24,792","7,165","1,077","209","182,510","182,510","13,760","16,986","28,404","30,861","30,935","29,080","18,287","11,319","2,515","309","54","181,177","181,177","12,989","16,166","25,963","28,938","28,442","29,484","20,149","13,473","4,650","768","155"
"서울특별시 중랑구 (1126000000)","418,836","418,836","30,647","40,155","60,013","67,991","70,549","73,444","43,212","24,551","7,097","1,041","136","209,323","209,323","15,684","20,869","30,071","35,471","35,983","36,491","20,990","11,247","2,251","239","27","209,513","209,513","14,963","19,286","29,942","32,520","34,566","36,953","22,222","13,304","4,846","802","109"
"서울특별시 성북구 (1129000000)","466,706","466,706","38,257","46,985","66,278","74,619","81,624","72,045","46,121","30,334","8,834","1,352","257","229,205","229,205","19,619","24,165","32,902","37,411","41,527","34,879","21,560","13,694","3,016","360","72","237,501","237,501","18,638","22,820","33,376","37,208","40,097","37,166","24,561","16,640","5,818","992","185"
"서울특별시 강북구 (1130500000)","335,025","335,025","23,600","32,328","43,692","52,086","57,041","55,353","38,180","25,022","6,538","976","209","165,223","165,223","12,124","16,801","22,189","27,102","28,917","26,774","17,303","11,369","2,334","256","54","169,802","169,802","11,476","15,527","21,503","24,984","28,124","28,579","20,877","13,653","4,204","720","155"
