"행정구역","2012년_계_총인구수","2012년_계_연령구간인구수","2012년_계_0~9세","2012년_계_10~19세","2012년_계_20~29세","2012년_계_30~39세","2012년_계_40~49세","2012년_계_50~59세","2012년_계_60~69세","2012년_계_70~79세","2012년_계_80~89세","2012년_계_90~99세","2012년_계_100세 이상","2012년_남_총인구수","2012년_남_연령구간인구수","2012년_남_0~9세","2012년_남_10~19세","2012년_남_20~29세","2012년_남_30~39세","2012년_남_40~49세","2012년_남_50~59세","2012년_남_60~69세","2012년_남_70~79세","2012년_남_80~89세","2012년_남_90~99세","2012년_남_100세 이상","2012년_여_총인구수","2012년_여_연령구간인구수","2012년_여_0~9세","2012년_여_10~19세","2012년_여_20~29세","2012년_여_30~39세","2012년_여_40~49세","2012년_여_50~59세","2012년_여_60~69세","2012년_여_70~79세","2012년_여_80~89세","2012년_여_90~99세","2012년_여_100세 이상"
"서울특별시  (1100000000)","10,195,318","10,195,318","825,987","1,146,509","1,488,944","1,802,242","1,735,779","1,576,336","915,732","520,039","155,136","24,688","3,926","5,041,336","5,041,336","424,685","599,453","742,981","910,258","870,688","763,881","438,938","234,147","48,952","6,357","996","5,153,982","5,153,982","401,302","547,056","745,963","891,984","865,091","812,455","476,794","285,892","106,184","18,331","2,930"
"서울특별시 종로구 (1111000000)","165,207","165,207","10,317","17,812","24,406","25,047","28,875","26,265","16,509","11,495","3,605","720","156","82,274","82,274","5,378","9,351","12,504","12,713","14,490","13,291","7,743","5,193","1,312","248","51","82,933","82,933","4,939","8,461","11,902","12,334","14,385","12,974","8,766","6,302","2,293","472","105"
"서울특별시 중구 (1114000000)","133,360","133,360","9,400","11,581","18,851","23,177","22,249","21,916","13,726","8,955","2,883","517","105","67,043","67,043","4,715","5,991","9,693","12,005","11,775","11,246","6,567","3,889","959","173","30","66,317","66,317","4,685","5,590","9,158","11,172","10,474","10,670","7,159","5,066","1,924","344","75"
"서울특별시 용산구 (1117000000)","243,232","243,232","18,797","23,057","33,008","44,509","41,996","36,705","22,872","16,040","5,208","827","213","118,461","118,461","9,553","12,071","16,130","22,239","21,239","17,808","10,412","6,881","1,803","269","56","124,771","124,771","9,244","10,986","16,878","22,270","20,757","18,897","12,460","9,159","3,405","558","157"
"서울특별시 성동구 (1120000000)","299,604","299,604","24,364","30,297","43,805","55,222","51,463","45,836","26,689","16,575","4,490","731","132","149,832","149,832","12,486","15,478","22,266","28,114","26,731","23,038","12,649","7,358","1,476","195","41","149,772","149,772","11,878","14,819","21,539","27,108","24,732","22,798","14,040","9,217","3,014","536","91"
"서울특별시 광진구 (1121500000)","371,313","371,313","27,921","41,645","61,164","67,666","63,628","56,685","30,297","16,656","4,734","791","126","183,528","183,528","14,325","21,709","29,958","34,143","31,816","27,592","14,640","7,596","1,532","186","31","187,785","187,785","13,596","19,936","31,206","33,523","31,812","29,093","15,657","9,060","3,202","605","95"
"서울특별시 동대문구 (1123000000)","363,258","363,258","27,218","36,462","54,419","61,916","59,274","57,484","36,649","22,678","6,044","938","176","182,661","182,661","13,938","18,865","28,199","32,203","30,959","28,385","17,424","10,310","2,045","285","48","180,597","180,597","13,280","17,597","26,220","29,713","28,315","29,099","19,225","12,368","3,999","653","128"
"서울특별시 중랑구 (1126000000)","419,295","419,295","31,139","45,494","60,860","69,958","72,035","70,963","39,800","22,027","5,993","917","109","210,043","210,043","15,956","23,836","30,741","36,379","36,684","35,207","19,278","9,951","1,790","196","25","209,252","209,252","15,183","21,658","30,119","33,579","35,351","35,756","20,522","12,076","4,203","721","84"
"서울특별시 성북구 (1129000000)","481,857","481,857","41,720","51,044","69,273","83,524","81,678","72,244","44,869","28,213","7,779","1,285","228","237,474","237,474","21,487","26,351","34,407","42,096","41,704","35,006","20,890","12,654","2,487","324","68","244,383","244,383","20,233","24,693","34,866","41,428","39,974","37,238","23,979","15,559","5,292","961","160"
"서울특별시 강북구 (1130500000)","343,157","343,157","25,663","35,970","45,583","57,660","57,651","54,664","36,927","22,451","5,520","886","182","169,866","169,866","13,211","18,857","23,092","29,992","29,322","26,113","16,829","10,341","1,830","235","44","173,291","173,291","12,452","17,113","22,491","27,668","28,329","28,551","20,098","12,110","3,690","651","138"
"서울특별시 도봉구 (1132000000)","362,270","362,270","28,272","43,214","50,637","55,719","62,483","61,017","33,358","20,444","6,186","844","96","179,194","179,194","14,595","22,688","26,013","28,055","30,642","29,473","16,291","9,139","2,055","227","16","183,076","183,076","13,677","20,526","24,624","27,664","31,841","31,544","17,067","11,305","4,131","617","80"
