시군구별,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
전국,0.918,0.8,7.1,35.7,86.2,45,7,0.2
서울특별시,0.717,0.5,3,17.7,68.2,45.5,7.5,0.2
부산광역시,0.827,0.8,5.2,28.8,79.3,42.5,6.6,0.2
대구광역시,0.932,0.6,5.7,37.1,91.3,43,5.8,0.1
인천광역시,0.94,1,8.5,36.2,87,46.3,7.1,0.2
광주광역시,0.913,0.8,7.1,37.3,85.7,42.2,6.6,0.1
대전광역시,0.883,0.7,7,36.7,82,42,6.1,0.1
울산광역시,1.084,0.9,7.9,48.6,107,43.6,6.2,0.2
세종특별자치시,1.472,0.7,11.6,73.1,139.8,60.6,9.5,0.4
경기도,0.943,0.7,6.7,36.5,89.3,46.2,7.2,0.2
강원도,1.082,1.3,11,54.7,96.6,43.1,6.7,0.3
충청북도,1.05,1.5,11.6,52.6,93.8,41.5,6.5,0.2
충청남도,1.112,1.4,13.7,58.6,97.4,42,6.9,0.2
전라북도,0.971,1.1,10.5,45,87.3,40.8,6.4,0.2
전라남도,1.234,1.2,12,58.9,111.9,51.3,7.8,0.2
경상북도,1.089,1,10,55.1,97.7,44.5,6.5,0.2
경상남도,1.046,1,8.4,49.3,98.6,42.7,6.2,0.2
제주특별자치도,1.145,1.1,11.9,50,98.3,53.6,10.6,0.3
