시군구별,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
전국,1.052,1,9.6,47.9,97.7,47.2,6,0.2
서울특별시,0.836,0.7,4.5,26.6,81.3,48.3,6.4,0.2
부산광역시,0.976,1.1,7.4,40,92.3,47.7,6.1,0.1
대구광역시,1.067,0.8,7.8,47.6,104,45.7,5.1,0.2
인천광역시,1.007,1.2,10.3,46.3,92,44.6,5.9,0.1
광주광역시,1.053,1.2,9.9,50.9,95.9,45,5.5,0.2
대전광역시,1.075,1.5,9.2,51.8,98.8,45.8,5.9,0.2
울산광역시,1.261,1.1,11.5,66.5,117.8,47,5.9,0.2
세종특별자치시,1.668,0.8,14.8,95.2,153.2,63.8,7.1,0.5
경기도,1.069,0.8,9.2,48.3,100.6,47.5,6.1,0.2
강원도,1.123,1.4,13.3,64.7,95.6,41,5.9,0.1
충청북도,1.235,1.5,14.8,67.8,108.2,46.8,5.9,0.2
충청남도,1.276,1.8,17.4,75.7,107.8,45.3,5.9,0.2
전라북도,1.151,1.3,13.4,61.4,100.7,44.7,5.7,0.2
전라남도,1.325,1.8,16.2,72.2,115.3,49.9,6,0.3
경상북도,1.256,1.1,14.5,69.6,110.3,47.8,5.9,0.2
경상남도,1.227,1.1,11.5,66.5,111.4,47.3,5.3,0.1
제주특별자치도,1.305,1.6,13.6,65,112.2,56,8.9,0.2
