시군구별,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
전국,1.205,1.6,13.1,63.4,113.8,43.2,5.2,0.1
서울특별시,0.983,1,6.7,39.5,98.5,45.8,5.8,0.1
부산광역시,1.09,1.5,10,49.9,107.7,43.3,4.8,0.1
대구광역시,1.169,1.3,10.2,60.2,114.7,41.1,4.6,0.1
인천광역시,1.212,1.7,13.2,63.8,113.6,44.1,5.2,0.1
광주광역시,1.199,1.7,13.8,65.1,112.3,41,4.6,0.2
대전광역시,1.25,1.8,13.4,67.3,118,43.3,5.1,0.2
울산광역시,1.437,1.3,15.4,85.1,135,44.9,4.6,0.1
세종특별자치시,1.354,1.7,18.5,84.2,120.3,42.9,4.8,0.2
경기도,1.241,1.3,12.8,66.6,117.4,43.5,5.2,0.1
강원도,1.248,2,16.7,78.8,108.4,36.7,4.7,0.1
충청북도,1.363,2,19,87.6,118.4,38.8,5.1,0.1
충청남도,1.421,2.3,22.5,91.4,122.2,39.1,5,0.2
전라북도,1.329,2.5,18.8,79.8,116.3,40.8,5.2,0.2
전라남도,1.497,2.6,22.9,93.6,130,42.5,5.2,0.2
경상북도,1.408,2.4,18.9,86.3,126,41.4,4.7,0.1
경상남도,1.409,1.5,16.9,84,130.2,42.8,4.8,0.2
제주특별자치도,1.481,2.7,20.5,85.4,125,52.5,7.8,0.3
