"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상"
"서울특별시  (1100000000)","9,765,623","9,765,623","690,368","855,121","1,449,790","1,548,770","1,590,374","1,546,954","1,142,415","660,825","238,869","36,294","5,843","4,773,899","4,773,899","353,981","440,320","716,197","774,185","789,945","756,599","540,814","301,846","89,309","9,253","1,450","4,991,724","4,991,724","336,387","414,801","733,593","774,585","800,429","790,355","601,601","358,979","149,560","27,041","4,393"
"서울특별시 종로구 (1111000000)","153,065","153,065","8,588","12,383","23,765","21,231","23,849","25,744","18,581","12,517","5,216","960","231","74,825","74,825","4,380","6,258","11,927","10,523","11,606","12,931","9,157","5,576","2,060","334","73","78,240","78,240","4,208","6,125","11,838","10,708","12,243","12,813","9,424","6,941","3,156","626","158"
"서울특별시 중구 (1114000000)","125,725","125,725","7,597","7,693","18,267","20,770","18,968","21,024","16,276","10,064","4,173","714","179","61,947","61,947","3,806","3,900","8,950","10,432","9,776","10,734","8,071","4,504","1,500","219","55","63,778","63,778","3,791","3,793","9,317","10,338","9,192","10,290","8,205","5,560","2,673","495","124"
"서울특별시 용산구 (1117000000)","228,999","228,999","14,706","17,149","32,515","38,285","37,130","36,247","26,537","16,995","7,733","1,365","337","110,640","110,640","7,601","8,731","15,766","19,109","18,282","17,890","12,571","7,325","2,853","421","91","118,359","118,359","7,105","8,418","16,749","19,176","18,848","18,357","13,966","9,670","4,880","944","246"
"서울특별시 성동구 (1120000000)","308,221","308,221","23,077","22,969","46,897","53,359","49,231","49,449","34,279","20,166","7,535","1,030","229","151,359","151,359","11,749","11,523","23,266","26,467","24,898","24,764","16,629","8,986","2,739","275","63","156,862","156,862","11,328","11,446","23,631","26,892","24,333","24,685","17,650","11,180","4,796","755","166"
"서울특별시 광진구 (1121500000)","355,559","355,559","23,182","29,234","61,256","60,447","56,164","56,427","38,679","21,347","7,550","1,083","190","172,794","172,794","11,914","14,930","29,332","29,945","27,685","27,501","18,512","9,832","2,812","291","40","182,765","182,765","11,268","14,304","31,924","30,502","28,479","28,926","20,167","11,515","4,738","792","150"
"서울특별시 동대문구 (1123000000)","348,052","348,052","22,896","26,533","54,289","52,789","53,730","55,423","43,292","27,508","9,912","1,421","259","173,567","173,567","11,792","13,495","27,736","27,299","27,734","27,822","20,980","12,387","3,854","399","69","174,485","174,485","11,104","13,038","26,553","25,490","25,996","27,601","22,312","15,121","6,058","1,022","190"
"서울특별시 중랑구 (1126000000)","403,209","403,209","26,293","30,589","57,490","62,177","61,536","72,008","52,463","29,329","9,783","1,372","169","200,419","200,419","13,448","15,675","29,011","32,230","31,650","35,526","25,508","13,362","3,662","305","42","202,790","202,790","12,845","14,914","28,479","29,947","29,886","36,482","26,955","15,967","6,121","1,067","127"
"서울특별시 성북구 (1129000000)","435,868","435,868","31,323","40,086","63,590","62,008","73,259","68,347","50,620","32,478","12,097","1,728","332","211,904","211,904","16,071","20,452","31,413","30,854","36,467","33,540","23,718","14,254","4,597","453","85","223,964","223,964","15,252","19,634","32,177","31,154","36,792","34,807","26,902","18,224","7,500","1,275","247"
"서울특별시 강북구 (1130500000)","319,164","319,164","18,921","25,261","43,842","43,446","50,661","54,270","42,837","28,854","9,574","1,269","229","156,071","156,071","9,728","12,997","21,770","22,801","25,747","26,389","19,827","12,690","3,710","358","54","163,093","163,093","9,193","12,264","22,072","20,645","24,914","27,881","23,010","16,164","5,864","911","175"
