"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~9세","2016년_남_10~19세","2016년_남_20~29세","2016년_남_30~39세","2016년_남_40~49세","2016년_남_50~59세","2016년_남_60~69세","2016년_남_70~79세","2016년_남_80~89세","2016년_남_90~99세","2016년_남_100세 이상","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~9세","2016년_여_10~19세","2016년_여_20~29세","2016년_여_30~39세","2016년_여_40~49세","2016년_여_50~59세","2016년_여_60~69세","2016년_여_70~79세","2016년_여_80~89세","2016년_여_90~99세","2016년_여_100세 이상"
"서울특별시  (1100000000)","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475","4,876,789","4,876,789","390,234","482,451","719,783","812,434","834,115","768,802","510,048","275,842","73,628","8,046","1,406","5,053,827","5,053,827","371,080","451,754","722,918","808,540","844,057","801,235","566,222","326,699","134,088","23,165","4,069"
"서울특별시 종로구 (1111000000)","152,737","152,737","9,039","13,546","23,270","21,063","25,422","25,323","17,535","11,899","4,584","836","220","75,201","75,201","4,632","6,961","11,801","10,421","12,516","12,937","8,449","5,320","1,795","296","73","77,536","77,536","4,407","6,585","11,469","10,642","12,906","12,386","9,086","6,579","2,789","540","147"
"서울특별시 중구 (1114000000)","125,249","125,249","8,117","8,533","17,745","20,439","20,094","21,115","15,217","9,440","3,762","627","160","62,204","62,204","4,098","4,285","8,934","10,413","10,430","10,796","7,509","4,157","1,343","188","51","63,045","63,045","4,019","4,248","8,811","10,026","9,664","10,319","7,708","5,283","2,419","439","109"
"서울특별시 용산구 (1117000000)","230,241","230,241","16,343","18,815","31,289","38,159","39,497","35,996","25,270","16,570","6,807","1,180","315","111,601","111,601","8,372","9,780","15,310","18,889","19,643","17,785","11,790","7,069","2,489","386","88","118,640","118,640","7,971","9,035","15,979","19,270","19,854","18,211","13,480","9,501","4,318","794","227"
"서울특별시 성동구 (1120000000)","299,259","299,259","23,593","24,490","44,196","51,486","50,163","48,071","31,058","18,723","6,394","887","198","148,326","148,326","11,970","12,330","22,457","25,846","25,537","24,343","14,928","8,343","2,278","240","54","150,933","150,933","11,623","12,160","21,739","25,640","24,626","23,728","16,130","10,380","4,116","647","144"
"서울특별시 광진구 (1121500000)","357,215","357,215","25,222","32,260","59,460","61,798","59,439","56,510","35,636","19,421","6,378","917","174","174,797","174,797","12,938","16,541","28,872","30,909","29,307","27,658","17,002","9,069","2,240","224","37","182,418","182,418","12,284","15,719","30,588","30,889","30,132","28,852","18,634","10,352","4,138","693","137"
"서울특별시 동대문구 (1123000000)","355,069","355,069","25,072","29,436","54,069","55,372","57,140","56,834","41,351","25,875","8,503","1,175","242","177,640","177,640","12,878","14,999","28,021","28,629","29,472","28,476","19,821","11,765","3,176","335","68","177,429","177,429","12,194","14,437","26,048","26,743","27,668","28,358","21,530","14,110","5,327","840","174"
"서울특별시 중랑구 (1126000000)","411,005","411,005","29,145","34,792","58,560","64,909","66,466","72,772","48,476","26,198","8,380","1,153","154","204,900","204,900","14,840","18,051","29,460","33,855","33,784","36,234","23,422","12,068","2,881","268","37","206,105","206,105","14,305","16,741","29,100","31,054","32,682","36,538","25,054","14,130","5,499","885","117"
"서울특별시 성북구 (1129000000)","450,355","450,355","35,453","43,041","64,375","67,183","78,758","69,510","48,775","30,941","10,563","1,451","305","219,951","219,951","18,181","21,953","31,990","33,499","39,580","33,902","22,756","13,804","3,834","374","78","230,404","230,404","17,272","21,088","32,385","33,684","39,178","35,608","26,019","17,137","6,729","1,077","227"
"서울특별시 강북구 (1130500000)","327,195","327,195","21,631","28,351","43,432","47,400","54,538","54,834","41,217","26,426","8,027","1,098","241","160,861","160,861","11,068","14,639","21,943","24,836","27,661","26,695","18,830","11,797","3,044","285","63","166,334","166,334","10,563","13,712","21,489","22,564","26,877","28,139","22,387","14,629","4,983","813","178"
"서울특별시 도봉구 (1132000000)","348,220","348,220","25,106","33,690","47,217","48,916","57,768","60,650","41,226","23,824","8,525","1,169","129","171,238","171,238","12,974","17,352","24,311","25,012","28,219","29,157","19,968","10,875","3,037","308","25","176,982","176,982","12,132","16,338","22,906","23,904","29,549","31,493","21,258","12,949","5,488","861","104"
